sentence,dialect ,diction_label
Nakain ka na ba ga ng mainit na suman magat pagkatapos mong uminom ng barakong kape kaninang madaling araw?  ,Batangas,
Liban muna tayo sa pamamasyal ngayong katapusan ng linggo dahil kailangan nating mag-aral para sa darating na mahabang pagsusulit.  ,Batangas,
Parine ka bilis at baka ka maiwan ng huling biyahe ng sasakyan patungong lipa ngayong hapon.  ,Batangas,
Magkano ga ang pamasahe papuntang bayan kapag may kasamang dalawang malalaking kahon ng mga sariwang gulay dine?  ,Batangas,
Namasada ga ang tiyuhin mo ngayong araw kahit na may nararamdaman siyang masama sa kanyang katawan kanina?  ,Batangas,
Nasunod ga kayo sa mga alituntunin na ipinatupad ng pamunuan ng ating barangay para sa kaligtasan ng lahat?  ,Batangas,
Nagawa ga kayo ng proyekto ninyo sa kompyuter kahit na walang kuryente sa buong barangay kagabi?  ,Batangas,
Ala eh napakabait naman ng batang iyan kaya naman madaming nagmamahal sa kanya dine sa amin.  ,Batangas,
Ala eh aba!  ,Batangas,
"Ay, ba ga!  ",Batangas,
Anak ng tinapa naman eh!  ,Batangas,
"Aba, dine pala!  ",Batangas,
Hala ga!  ,Batangas,
"Ay, mabanas!  ",Batangas,
Aba eh ewan!  ,Batangas,
"Ay, nakain na!  ",Batangas,
Hala eh bakit?  ,Batangas,
"Aba, parine ka!  ",Batangas,
"Ay, nasunog ga!  ",Batangas,
"Aba, liban muna!  ",Batangas,
Parine ka at tulungan mo akong magbuhat ng mga kahon dine.  ,Batangas,
Liban muna kayo sa usapan na iyan habang wala pa si kapitan.  ,Batangas,
Iwan mo dine ang bisikleta mo sa tapat ng tindahan.  ,Batangas,
Itaas mo ga ang kamay mo para makita ka niya.  ,Batangas,
Isulat mo dine ang pangalan ng lahat ng dumating ngayon.  ,Batangas,
Bilisan mo ga ang paglakad at baka tayo mapag-iwanan.  ,Batangas,
Dalhin mo parine ang mga basong nabasag sa kusina.  ,Batangas,
Tingnan mo ga kung may natira pang lomi sa palayok.  ,Batangas,
Isara mo dine ang pinto para hindi pumasok ang lamok.  ,Batangas,
Ikuha mo ga ng mainit na tubig ang lolo mo.  ,Batangas,
Pakinggan mo ga ang sinasabi ng iyong mga magulang.  ,Batangas,
Iligpit mo dine ang mga kalat pagkatapos mong kumain.  ,Batangas,
Namasada ang aking tiyuhin kaninang umaga at nakita niya ang prusisyon na dumaan sa may tulay ng bayan habang naulan.  ,Batangas,
Noong bata pa ako ay madalas kaming maligo sa ilog kapag nakatapos na kaming mag-aral ng aming mga aralin.  ,Batangas,
Naligaw sila kagabi dahil hindi nila alam kung saan ga dadaan ang tamang sakayan patungong lipa.  ,Batangas,
Nagising ako nang napakaaga dahil nabanasan ako sa loob ng aking silid dahil nawalan pala ng kuryente.  ,Batangas,
Pumunta kami sa bayan para bumili ng mga sariwang sangkap para sa lulutuing ulam ni nanay ngayong gabi.  ,Batangas,
Nakita ko silang nag-uusap dine sa tapat ng aming pintuan tungkol sa nawawalang pitaka ng kapitan.  ,Batangas,
Gumawa kami ng malaking proyekto para sa paaralan gamit ang mga lumang materyales na nakuha namin sa bodega.  ,Batangas,
Dumaan ang tsuper ng dyip sa shortcut para makaiwas sa mahabang trapik na dulot ng ginagawang kalsada.  ,Batangas,
Nakinig kami sa balita sa radyo habang kumakain ng masarap na suman kasama ang buong pamilya.  ,Batangas,
Natapos din namin ang pag-aayos ng mga halaman sa hardin bago pa man magsimulang umulan nang malakas.  ,Batangas,
Naabutan namin silang nagtatawanan sa may terminal habang naghihintay ng susunod na biyahe.  ,Batangas,
Iniwan niya ang kanyang mga tsinelas dine sa may baitang ng hagdanan bago siya pumasok sa kwarto.  ,Batangas,
Sino ga ang kasama mong umuwi kagabi mula sa paaralan?  ,Batangas,
Bakit ga hindi sila sumasagot sa mga tawag natin ngayon?  ,Batangas,
Magkano ga ang bayad dine sa dyip kapag mag-aaral?  ,Batangas,
Narinig mo ba ga ang malakas na hiyaw sa labas?  ,Batangas,
Saan ga dadaan ang sasakyan ninyo mamayang gabi?  ,Batangas,
Nabili ka na ba ga ng bagong damit para sa pista?  ,Batangas,
Anong oras ga tayo aalis patungong palengke ng bayan?  ,Batangas,
Nasabi mo na ga kay kapitan ang tungkol sa problema?  ,Batangas,
Nakitang ga ninyo ang aking itim na pitaka sa mesa?  ,Batangas,
Bakit ga parang galit ka na naman sa akin ngayon?  ,Batangas,
Nasubukan mo na ba ga ang sumakay sa mailap na kabayo?  ,Batangas,
Saan ga tayo makakahanap ng masarap na lomi dine?  ,Batangas,
"Huwag ka ngang mag-inarte diyan, buwaya naman ang pwesto mo.  ",Batangas,
Natuka na naman ng kamalasan ang tropa natin kagabi ah.  ,Batangas,
Tubong-lugaw ang kita nila sa pagbebenta ng lomi ngayon.  ,Batangas,
"Huwag mo akong ma-bola, kilala ko ang galaw mo dine.  ",Batangas,
Sawsaw na naman siya sa usapan kahit hindi naman kausap.  ,Batangas,
Naka-jackpot ang tsuper dahil madami ang pasahero kanina.  ,Batangas,
Huwag kang pabebe riyan at kumain ka na dine.  ,Batangas,
Sablay ang banat niya kaya natawa ang mga tao.  ,Batangas,
Naka-iskor na naman ng libreng merienda ang katabi ko.  ,Batangas,
Huwag mong dadaanin sa tsamba ang pagsusulit mo bukas.  ,Batangas,
Gatasan na naman ng pera ang proyektong iyan kung ituloy.  ,Batangas,
Naloka ako sa presyo ng mga bilihin sa bayan.  ,Batangas,
"Ala eh, ang totoo niyan, hindi ko naman talaga alam.  ",Batangas,
"Bali, dine muna tayo magpalipas ng oras habang naghihintay.  ",Batangas,
" bale, anong oras ga talaga ang tamang alis natin?  ",Batangas,
"Ano, parang mabanas ang panahon kaya masarap mag-ice cream.  ",Batangas,
"ale, parang pamilyar sa akin ang mukha ng kasama mo.  ",Batangas,
" bali, liban muna ako sa klase dahil masama ang pakiramdam.  ",Batangas,
"Ano, saan ga tayo kukuha ng karagdagang pondo ngayon?  ",Batangas,
 baka naman pwedeng dine mo na lang iwan iyan.  ,Batangas,
" bale, nasulat ka na ga ng iyong ulat ngayon?  ",Batangas,
 parang masama ang panahon kaya huwag na umalis.  ,Batangas,
" bale, nagawa ga kayo ng takdang-aralin ninyo kagabi?  ",Batangas,
 parang nahihirapan akong magbuhat nitong kahon dine.  ,Batangas,
Mag-log in ka muna sa system bago ka mag-encode dine.  ,Batangas,
I-check mo ga kung online na si ma'am sa chat.  ,Batangas,
Naka-receive ako ng text mula sa opisina ng dean kanina.  ,Batangas,
I-print mo dine ang hard copy ng ating research abstract.  ,Batangas,
Naka-save ba ga sa flash drive ang presentation mo?  ,Batangas,
Mag-download ka muna ng file bago ka mag-update dine.  ,Batangas,
Naka-block ang website kapag ginamit mo ang wifi rito.  ,Batangas,
I-forward mo ga sa email ko ang soft copy ng report.  ,Batangas,
Naka-schedule ang exam natin sa thursday ayon kay ma'am.  ,Batangas,
I-cancel mo ga ang booking natin dahil naulan nang malakas.  ,Batangas,
Naka-post sa facebook group ang mga kailangan nating dalhin.  ,Batangas,
I-verify mo muna dine sa app kung pumasok ang payment.  ,Batangas,
Dito muna ako maghihintay sa tapat ng plasa.  ,Laguna,
Saan ba kayo galing kaninang madaling araw?  ,Laguna,
Kumain ka na ba ng tanghalian sa karinderya?  ,Laguna,
Parang mahaba ang pila ng sasakyan ngayon sa highway.  ,Laguna,
Hintayin muna natin si ate bago tayo umalis.  ,Laguna,
Masarap ang simoy ng hangin dito sa may tabing-lawa.  ,Laguna,
Dito tayo sa may lilim ng puno mag-usap.  ,Laguna,
Ang dami palang tao rito tuwing sumasapit ang hapon.  ,Laguna,
Parang mahuhuli tayo sa byahe kapag hindi tayo nagmadali.  ,Laguna,
Mag-ingat kayo sa daan pabalik sa inyong bahay.  ,Laguna,
Tara muna sa tindahan para bumili ng malamig na inumin.  ,Laguna,
Ang init pala sa labas ngayon kaya masarap magpalamig.  ,Laguna,
Hintayin mo ako sandali at may kukunin lang ako.  ,Laguna,
Masarap ang pagkain dito sa bagong bukas na kainan.  ,Laguna,
Dito muna tayo bago umalis patungong unibersidad.  ,Laguna,
Nalulungkot talaga ako dahil hindi ko naabutan si nanay sa bahay kanina.  ,Laguna,
Sobra ang kaba ko habang naghihintay ng resulta ng aking pagsusulit.  ,Laguna,
Naiiyak ako sa tuwa dahil natapos din natin ang mahirap na proyekto.  ,Laguna,
Natatakot ako kapag gabi na at wala pa ring masakyang dyip sa kanto.  ,Laguna,
Napakasakit isipin na hindi nila pinahalagahan ang tulong na ibinigay natin.  ,Laguna,
Nagalit si tatay dahil nakalimutan kong painumin ng gamot ang lolo.  ,Laguna,
Nanghihinayang ako sa pagkakataon na makasama kayo sa pamamasyal kagabi.  ,Laguna,
Natutuwa ako dahil naging matagumpay ang programa ng ating pamunuan.  ,Laguna,
Naiinis ako kapag matagal akong naghihintay sa initan dito sa labas.  ,Laguna,
Napakasaya ng buong pamilya noong dumating ang mga pasalubong mula sa malayo.  ,Laguna,
Nalilito ako kung aling kurso ang dapat kong piliin para sa aking kinabukasan.  ,Laguna,
Nangangamba ako na baka bahain na naman ang daan papunta sa amin.  ,Laguna,
Dito muna.  ,Laguna,
Saan ba?  ,Laguna,
Kumain na.  ,Laguna,
Mahaba pila.  ,Laguna,
Hintayin sila.  ,Laguna,
Masarap hangin.  ,Laguna,
Dito tayo.  ,Laguna,
Maraming tao.  ,Laguna,
Huli na.  ,Laguna,
Mag-ingat kayo.  ,Laguna,
Tara muna.  ,Laguna,
Mainit ngayon.  ,Laguna,
Dito raw tayo magkikita sa tapat ng plasa para sabay-sabay na tayong sumakay papunta sa aming unibersidad.  ,Laguna,
Saan ba pwedeng bumili ng masarap at bagong lutong buko pie na pwedeng dalhing pasalubong sa aking pamilya?  ,Laguna,
Kumain ka na ba bago ka bumiyahe pabalik dito sa bayan para hindi ka gutumin sa daan mamaya?  ,Laguna,
Parang lumalaki ang tubig sa lawa ngayon dahil sa walang tigil na pagbuhos ng malakas na ulan kagabi.  ,Laguna,
Hintayin muna natin ang hudyat ng pamunuan bago natin simulan ang pamamahagi ng mga tulong sa mga residente.  ,Laguna,
Masarap mamasyal sa Nuvali kapag hapon dahil hindi na masyadong matindi ang sikat ng araw at presko ang hangin.  ,Laguna,
Dito na natin hintayin ang mga kasama natin para hindi na tayo magkahiwa-hiwalay pa pagpasok sa loob ng mall.  ,Laguna,
Ang init naman sa loob ng terminal na ito kaya naman madami sa mga pasahero ang lumalabas muna.  ,Laguna,
Parang may bagyong darating batay sa mga huling balita na narinig ko sa radyo kaninang madaling araw.  ,Laguna,
Hintayin mo na lang ako sa may paradahan ng mga traysikel sa tapat ng lumang palengke ng bayan.  ,Laguna,
Dito na natin simulan ang pagpupulong natin para matapos tayo nang maaga at makauwi na ang lahat sa bahay.  ,Laguna,
Saan ba banda ang opisina ng munisipyo rito para maituro ko sa aking mga kasama ang tamang daan?  ,Laguna,
"Aba, dito pala!  ",Laguna,
"Hala, uulan yata!  ",Laguna,
"Ay, sarado na!  ",Laguna,
"Naku, ang trapik!  ",Laguna,
"Wow, ang ganda!  ",Laguna,
"Ay, salamat naman!  ",Laguna,
"Hala, nawawala yata!  ",Laguna,
Naku naman o!  ,Laguna,
"Aba, maaga ngayon!  ",Laguna,
"Ay, nabasag pala!  ",Laguna,
"Hala, bilisan mo!  ",Laguna,
"Wow, sarap nito!  ",Laguna,
Hintayin mo na lang ako sa may paradahan ng sasakyan mamaya.  ,Laguna,
Dito mo ilagay ang mga pinamili nating prutas mula sa palengke.  ,Laguna,
Saan ba pwedeng mag-park ng sasakyan kaya maghanap ka ng pwesto.  ,Laguna,
Kumain ka na ng hapunan bago ka magsimula mag-aral ng leksyon.  ,Laguna,
Mag-ingat kayo sa pagtawid sa riles ng tren tuwing gabi.  ,Laguna,
Tara muna sa may karinderya sa kanto para kumain ng meryenda.  ,Laguna,
Ipaling mo ang sasakyan sa kanang bahagi ng kalsada para makadaan sila.  ,Laguna,
Tawagan mo si nanay para malaman kung nasaan na siya ngayon.  ,Laguna,
Ihanda mo ang mga papeles na kailangan para sa pag-asikaso bukas.  ,Laguna,
Isara mo ang bintana dahil pumasok ang singaw ng init sa labas.  ,Laguna,
Ilista mo ang pangalan ng mga dumalo sa seminar ngayong hapon.  ,Laguna,
Iwan mo ang susi sa tapat ng pintuan bago ka umalis.  ,Laguna,
Pumunta kami sa Liliw noong nakaraang linggo para bumili ng mga murang sapatos na gagamitin ko sa aking pagpasok sa paaralan.  ,Laguna,
Nakita ko ang paglaki ng tubig sa lawa habang kami ay sumasakay sa bangka patungong kabilang bayan kaninang umaga.  ,Laguna,
Nagtipon-tipon ang mga mag-aaral sa covered court para sa gaganaping patimpalak sa darating na buwan ng wika.  ,Laguna,
Dinala ni tatay ang sasakyan sa talyer dahil may kakaibang tunog kaming naririnig tuwing dadaan sa bako-bakong daan.  ,Laguna,
Bumili si nanay ng sariwang isda sa palengke ng Sta Rosa para sa aming hapunan kasama ang buong pamilya.  ,Laguna,
Naglakad kami sa may pilapil habang pinapanood ang magandang sikat ng araw na sumisikat sa likod ng mga kabundukan.  ,Laguna,
Natapos namin ang pag-aayos ng mga dokumento sa munisipyo pagkatapos ng ilang oras na paghihintay sa mahabang pila.  ,Laguna,
Dumaan ang traysikel sa gilid ng riles para makaiwas sa matinding trapik na dulot ng aksidente sa main highway.  ,Laguna,
Uminom si lolo ng kanyang gamot pagkatapos kumain ng masarap na almusal na inihanda ng aking bunsong kapatid.  ,Laguna,
Nagkita-kita ang magkakaibigan sa tapat ng simbahan bago sila tuluyang pumunta sa falls para magpalamig ngayong weekend.  ,Laguna,
Nakinig ang lahat sa paliwanag ng manager tungkol sa mga bagong patakaran na ipatutupad sa loob ng opisina.  ,Laguna,
Iniwan niya ang kanyang payong sa may lobby ng gusali dahil nakalimutan niya itong kunin pagkatapos ng ulan.  ,Laguna,
Saan ba banda rito ang terminal ng bus papuntang Maynila?  ,Laguna,
Kumain ka na ba ng meryenda bago ka pumasok sa klase?  ,Laguna,
Saan ba makakahanap ng murang paupahan na malapit sa unibersidad?  ,Laguna,
Kumusta ang byahe mo mula sa probinsya patungo dito sa bayan?  ,Laguna,
Parang uulan ba nang malakas mamaya batay sa kulay ng ulap?  ,Laguna,
Saan ba ang sakayan ng traysikel papunta sa munisipyo?  ,Laguna,
Kumain na ba si tatay ng kanyang gamot para sa alta-presyon?  ,Laguna,
Saan ba pwede mag-park ng sasakyan na ligtas at walang bayad?  ,Laguna,
Kumain na ba ang mga bisita sa itaas ng bahay natin?  ,Laguna,
Saan ba ang bagsakan ng mga sariwang gulay dito sa palengke?  ,Laguna,
Kumain na ba ang lahat bago tayo magsimula sa ating paglalakbay?  ,Laguna,
Saan ba banda ang opisina ng kapitan dito sa inyong barangay?  ,Laguna,
"Huwag kang pampam sa harap ng mga bisita, nakakahiya naman.  ",Laguna,
Naka-tsamba na naman siya sa huling tanong sa pagsusulit kanina.  ,Laguna,
"Huwag mo akong ma-drama rito, alam ko ang totoong nangyari.  ",Laguna,
Naka-iskor kami ng murang sapatos doon sa may tindahan sa kanto.  ,Laguna,
Huwag kang jologs kung pumorma kapag pupunta sa pormal na okasyon.  ,Laguna,
Naka-jackpot ang tindera dahil naubos agad ang kanyang mga paninda.  ,Laguna,
"Huwag kang praning diyan, ligtas naman ang lugar na ito tuwing gabi.  ",Laguna,
Naka-benta sila ng madaming buko pie dahil sa dami ng turista.  ,Laguna,
Huwag mo akong ma-bwisit ngayon dahil madami akong ginagawa rito.  ,Laguna,
Naka-score ng mataas na marka ang aking kaklase sa mahirap na exam.  ,Laguna,
Huwag kang umasta na parang boss kung bago ka pa lang dito.  ,Laguna,
Naka-freebie kami ng masarap na tsokolate galing doon sa may ari.  ,Laguna,
" bale, dito muna tayo maghihintay sa tapat ng plasa.  ",Laguna,
 parang mahaba ang pila ng mga sasakyan ngayon sa daan.  ,Laguna,
" ano, saan ba talaga ang tamang daan patungo sa inyo?  ",Laguna,
" kumbaga, hintayin muna natin si kuya bago tayo magdesisyon.  ",Laguna,
 parang uulan na naman nang malakas mamayang hapon.  ,Laguna,
" kumbaga, dito na natin simulan ang pag-aayos ng mga gamit.  ",Laguna,
" bale, kumain na ba ang lahat bago tayo tuluyang umalis?  ",Laguna,
 parang matatagalan tayo rito sa loob ng munisipyo ngayon.  ,Laguna,
" ano, hintayin na lang natin ang susunod na abiso mula sa kanila.  ",Laguna,
" kumbaga, masarap ang timpla ng kape rito sa may karinderya.  ",Laguna,
" bale, saan ba banda ang sakayan papuntang SM Sta Rosa?  ",Laguna,
 parang masikip ang daan papunta roon sa may lumang tulay.  ,Laguna,
Mag-log in ka muna sa portal ng unibersidad para makita mo ang grades.  ,Laguna,
I-check mo kung available pa ang schedule ng bus papuntang Lucena.  ,Laguna,
Naka-receive ako ng email mula sa HR tungkol sa aking application.  ,Laguna,
I-print mo ang soft copy ng ating research paper para sa validation.  ,Laguna,
Naka-save ba sa Google Drive ang lahat ng mga files natin?  ,Laguna,
Mag-download ka muna ng application form bago ka pumunta sa opisina.  ,Laguna,
Naka-block ang signal ng wifi kapag nandoon ka sa may basement.  ,Laguna,
I-forward mo sa messenger ko ang screenshot ng resibo ng bayad.  ,Laguna,
Naka-schedule ang meeting natin sa Friday kasama ang buong team.  ,Laguna,
I-cancel mo ang order natin dahil matatagalan daw ang delivery nito.  ,Laguna,
Naka-post sa bulletin board ang mga pangalan ng mga nakapasa.  ,Laguna,
I-verify mo muna sa system kung pumasok na ang bayad ng customer.  ,Laguna,
Tsibog na tayo mga tol habang mainit pa ang ulam.  ,Cavite,
Pre ang lupet ng laban sa basketball kanina sa court.  ,Cavite,
Sandale lang at magbibihis lang ako ng mabilis.  ,Cavite,
Astig ng bagong kotse na binili ng kapitbahay natin.  ,Cavite,
Tara na at baka ma-late tayo sa unang klase bukas.  ,Cavite,
Ang ingay sa highway ngayon dahil sa mga dumadaang motor.  ,Cavite,
Chibog muna bago bumiyahe patungong malayong probinsya.  ,Cavite,
Pre saan tayo tambay mamaya pagkatapos ng ating klase?  ,Cavite,
Sandale lang at tatawag lang ako kay kuya saglit.  ,Cavite,
Astig ng bagong motor niya na kulay itim.  ,Cavite,
Ang lupet ng tugtog kagabi doon sa may discohan.  ,Cavite,
Tara tsibog pagkatapos ng klase natin sa hapon.  ,Cavite,
Pre sobrang traffic kanina sa may aguinaldo highway.  ,Cavite,
Sandale lang at kukunin ko lang ang aking mga gamit.  ,Cavite,
Astig ng view dito sa may overlooking sa Tagaytay.  ,Cavite,
"Naiiyak ako sa lupet ng kanta, parang tagos sa puso ko talaga pre.  ",Cavite,
Sobrang bwisit ko kanina dahil na-late ako sa klase dahil sa traffic!  ,Cavite,
"Natatakot ako tol, baka hindi ko maipasa itong mahirap na subject.  ",Cavite,
Napakasakit sa damdamin na makitang biglang nasira ang pinaghirapan nating proyekto.  ,Cavite,
"Nagalit si kapitan pre, sobrang ingay daw kasi ng tambay sa labas.  ",Cavite,
Natutuwa ako tol dahil sa wakas ay nakuha ko na ang aking allowance.  ,Cavite,
"Nanghihinayang ako sa natirang tsibog kagabi, nasira lang sa mesa.  ",Cavite,
Nalilito ako pre kung paano ko sisimulan itong report ko sa computer.  ,Cavite,
Napakasaya ng buong tropa noong manalo tayo sa liga kaninang umaga.  ,Cavite,
Naiinis ako tol kapag hindi sumasagot sa text ang kagrupo natin.  ,Cavite,
Nangangamba ako na baka hindi tayo umabot sa takdang oras ng pasahan.  ,Cavite,
"Sobrang gulo ng isip ko ngayon pre, dami kong iniisip na problema.  ",Cavite,
Tsibog na.  ,Cavite,
"Pre, saan?  ",Cavite,
Sandale lang.  ,Cavite,
Astig tol!  ,Cavite,
Lupet niyan!  ,Cavite,
Tara na.  ,Cavite,
Ingay dito.  ,Cavite,
Chibog muna.  ,Cavite,
Traffic pre.  ,Cavite,
Gabi na.  ,Cavite,
Late na.  ,Cavite,
Tropa pre.  ,Cavite,
Pre pabalot naman nung natirang tsibog natin doon sa may sikat na kainan para pwedeng meryendahin mamayang gabi.  ,Cavite,
Ang lupet talaga ng porma ng sasakyan mo ngayon lalo na at bagong palit ang mga gulong at pintura nito.  ,Cavite,
"Sandale lang pre, huwag mo muna akong iwan dito sa madilim na eskinita habang hinahanap ko pa ang aking susi.  ",Cavite,
"Astig ng tugtugan sa disco kagabi ah, madaming tao ang nagsayawan hanggang sa sumapit ang madaling araw sa bayan.  ",Cavite,
Tara na tol at baka abutan tayo ng malakas na ulan dito sa daan at wala pa naman tayong dalang dalawang payong.  ,Cavite,
Ang ingay ng mga tricycle sa labas ngayon kaya naman hindi ko marinig nang maayos ang sinasabi ng aking guro sa telepono.  ,Cavite,
Chibog muna tayo sa tabi-tabi bago umuwi para naman hindi tayo gutumin habang nakatambay sa may terminal mamaya.  ,Cavite,
Pre malapit na ba mag-umpisa ang palabas sa may covered court para makahanap na tayo ng magandang pwesto sa unahan?  ,Cavite,
"Sandale lang tol, hinahanap ko pa ang aking itim na pitaka sa loob ng aking napakalaking bag na madaming laman.  ",Cavite,
"Astig ng sapatos ng katabi ko kanina sa jeep, parang mamahalin ang tatak at napakakintab pa ng pagkakalinis nito.  ",Cavite,
Ang lupet ng bagsakan ng lyrics sa kanta ng bagong banda na napanood natin sa may plasa noong nakaraang sabado.  ,Cavite,
Tara tsibog tayo dun sa may bagong kainan sa tabi ng unibersidad dahil balita ko ay napakamura ng kanilang mga pagkain.  ,Cavite,
"Pre, astig!  ",Cavite,
"Tol, lupet!  ",Cavite,
"Ay, chibog na!  ",Cavite,
"Hala, sandale!  ",Cavite,
"Naku pre, traffic!  ",Cavite,
"Wow, astig nito!  ",Cavite,
"Ay, sablay tol!  ",Cavite,
"Hala, late na!  ",Cavite,
"Naku, ang ingay!  ",Cavite,
"Aba pre, porma ah!  ",Cavite,
"Ay, pabalot tol!  ",Cavite,
"Wow, lupet ng kotse!  ",Cavite,
Bilisan mo ang tsibog at may klase pa tayo mamayang ala-una ng hapon.  ,Cavite,
Pre pabalot naman nung natirang pagkain natin sa mesa bago tayo umalis.  ,Cavite,
"Sandale lang tol, tingnan mo muna kung dumarating na ang tsuper ng dyip.  ",Cavite,
Tara na tol at baka masarhan tayo ng gate ng unibersidad ngayon.  ,Cavite,
Isara mo ang pinto dahil sobrang ingay ng mga sasakyan sa highway.  ,Cavite,
Tawagan mo ang tropa para malaman mo kung nasaan silang lahat nakatambay.  ,Cavite,
Maghangap ka ng daan papunta roon para makaiwas tayo sa mahabang traffic.  ,Cavite,
Dalhin mo ang jacket mo dahil malamig ang simoy ng hangin sa gabi.  ,Cavite,
Ihanda mo ang sasakyan natin dahil may bibilhin lang tayo sa imus.  ,Cavite,
Ilista mo ang mga kailangan nating bilhing sangkap para sa tsibog mamaya.  ,Cavite,
Huwag mong iiwan ang mga gamit mo sa tabi-tabi at baka mawala.  ,Cavite,
Bilisan mo ang pag-aayos ng computer para magamit na natin sa laro.  ,Cavite,
Pumunta kami sa may dasma kagabi para manood ng sikat na banda kasama ang buong tropa ko mula sa paaralan.  ,Cavite,
Nakita ko ang mahabang pila sa sakayan ng bus kaninang umaga kaya naman napilitan akong mag-traysikel na lang.  ,Cavite,
Nag-ensayo kami ng sayaw sa covered court para sa gaganaping kompetisyon sa darating na linggo ng wika.  ,Cavite,
Bumili si kuya ng bagong sapatos sa mall at sobrang astig ng porma nito nang isuot niya kanina.  ,Cavite,
Nagtsibog kami ng mainit na lugaw sa may kanto dahil biglang bumuhos ang malakas na ulan ngayong hapon.  ,Cavite,
Dumaan ang sasakyan namin sa shortcut sa aguinaldo highway para hindi kami maabutan ng matinding traffic sa daan.  ,Cavite,
Natapos din namin ang paggawa ng report sa computer pagkatapos ng ilang oras na pagpupuyat sa kwarto.  ,Cavite,
Nakinig ang buong tropa sa kwento ng lolo tungkol sa mga lumang bahay na may multo rito sa amin.  ,Cavite,
Nagkita-kita kami sa may plasa bago kami tuluyang pumunta sa may kainan para mag-celebrate ng birthday niya.  ,Cavite,
Iniwan niya ang kanyang jacket sa loob ng locker dahil nakalimutan niya itong dalhin pag-uwi kagabi.  ,Cavite,
Nirestohan namin ang bagong bukas na tambayan sa may tabi ng dagat at napakaganda ng tanawin doon.  ,Cavite,
Nawalan ng kuryente sa buong barangay kaya naman napilitan kaming lumabas muna ng bahay para magpalamig.  ,Cavite,
Pre saan ba ang daan papunta sa may sikat na kainan dito sa bayan?  ,Cavite,
"Sandale lang pre, malapit na ba mag-umpisa ang laro sa court?  ",Cavite,
Pre malapit na ba tayo sa may dulo ng mahabang pila na ito?  ,Cavite,
Pre saan ba maganda magpalipas ng oras kasama ang buong tropa natin?  ,Cavite,
Pre anong oras ang tsibog natin mamaya para makapaghanda na ako rito?  ,Cavite,
Pre saan ba ang sakayan ng van papuntang imus dito sa may kanto?  ,Cavite,
Pre saan ba pwedeng mag-ensayo ng sayaw na walang bayad ang pwesto?  ,Cavite,
Pre saan ba banda rito ang opisina ng munisipyo ng lungsod natin?  ,Cavite,
Pre bakit ba sobrang traffic na naman ngayon dito sa aguinaldo highway?  ,Cavite,
Pre napanood mo ba ang huling laban ng koponan natin kaninang umaga?  ,Cavite,
