sentence,dialect
Magkano ga ang pamasahe papuntang bayan kapag may kasamang dalawang malalaking kahon ng mga sariwang gulay dine? ,batangas
Namasada ga ang tiyuhin mo ngayong araw kahit na may nararamdaman siyang masama sa kanyang katawan kanina? ,batangas
Nasunod ga kayo sa mga alituntunin na ipinatupad ng pamunuan ng ating barangay para sa kaligtasan ng lahat? ,batangas
Nagawa ga kayo ng proyekto ninyo sa kompyuter kahit na walang kuryente sa buong barangay kagabi? ,batangas
Ala eh napakabait naman ng batang iyan kaya naman madaming nagmamahal sa kanya dine sa amin. ,batangas
Ala eh aba! ,batangas
"Ay, ba ga! ",batangas
Anak ng tinapa naman eh! ,batangas
"Aba, dine pala! ",batangas
Hala ga! ,batangas
"Ay, mabanas! ",batangas
Aba eh ewan! ,batangas
"Ay, nakain na! ",batangas
Hala eh bakit? ,batangas
"Aba, parine ka! ",batangas
"Ay, nasunog ga! ",batangas
"Aba, liban muna! ",batangas
Parine ka at tulungan mo akong magbuhat ng mga kahon dine. ,batangas
Liban muna kayo sa usapan na iyan habang wala pa si kapitan. ,batangas
Iwan mo dine ang bisikleta mo sa tapat ng tindahan. ,batangas
Itaas mo ga ang kamay mo para makita ka niya. ,batangas
Isulat mo dine ang pangalan ng lahat ng dumating ngayon. ,batangas
Bilisan mo ga ang paglakad at baka tayo mapag-iwanan. ,batangas
Dalhin mo parine ang mga basong nabasag sa kusina. ,batangas
Tingnan mo ga kung may natira pang lomi sa palayok. ,batangas
Isara mo dine ang pinto para hindi pumasok ang lamok. ,batangas
Ikuha mo ga ng mainit na tubig ang lolo mo. ,batangas
Pakinggan mo ga ang sinasabi ng iyong mga magulang. ,batangas
Iligpit mo dine ang mga kalat pagkatapos mong kumain. ,batangas
Namasada ang aking tiyuhin kaninang umaga at nakita niya ang prusisyon na dumaan sa may tulay ng bayan habang naulan. ,batangas
Noong bata pa ako ay madalas kaming maligo sa ilog kapag nakatapos na kaming mag-aral ng aming mga aralin. ,batangas
Naligaw sila kagabi dahil hindi nila alam kung saan ga dadaan ang tamang sakayan patungong lipa. ,batangas
Nagising ako nang napakaaga dahil nabanasan ako sa loob ng aking silid dahil nawalan pala ng kuryente. ,batangas
Pumunta kami sa bayan para bumili ng mga sariwang sangkap para sa lulutuing ulam ni nanay ngayong gabi. ,batangas
Nakita ko silang nag-uusap dine sa tapat ng aming pintuan tungkol sa nawawalang pitaka ng kapitan. ,batangas
Gumawa kami ng malaking proyekto para sa paaralan gamit ang mga lumang materyales na nakuha namin sa bodega. ,batangas
Dumaan ang tsuper ng dyip sa shortcut para makaiwas sa mahabang trapik na dulot ng ginagawang kalsada. ,batangas
Nakinig kami sa balita sa radyo habang kumakain ng masarap na suman kasama ang buong pamilya. ,batangas
Natapos din namin ang pag-aayos ng mga halaman sa hardin bago pa man magsimulang umulan nang malakas. ,batangas
Naabutan namin silang nagtatawanan sa may terminal habang naghihintay ng susunod na biyahe. ,batangas
Iniwan niya ang kanyang mga tsinelas dine sa may baitang ng hagdanan bago siya pumasok sa kwarto. ,batangas
Sino ga ang kasama mong umuwi kagabi mula sa paaralan? ,batangas
Bakit ga hindi sila sumasagot sa mga tawag natin ngayon? ,batangas
Magkano ga ang bayad dine sa dyip kapag mag-aaral? ,batangas
Narinig mo ba ga ang malakas na hiyaw sa labas? ,batangas
Saan ga dadaan ang sasakyan ninyo mamayang gabi? ,batangas
Nabili ka na ba ga ng bagong damit para sa pista? ,batangas
Anong oras ga tayo aalis patungong palengke ng bayan? ,batangas
Nasabi mo na ga kay kapitan ang tungkol sa problema? ,batangas
Nakitang ga ninyo ang aking itim na pitaka sa mesa? ,batangas
Bakit ga parang galit ka na naman sa akin ngayon? ,batangas
Nasubukan mo na ba ga ang sumakay sa mailap na kabayo? ,batangas
Saan ga tayo makakahanap ng masarap na lomi dine? ,batangas
"Huwag ka ngang mag-inarte diyan, buwaya naman ang pwesto mo. ",batangas
Natuka na naman ng kamalasan ang tropa natin kagabi ah. ,batangas
Tubong-lugaw ang kita nila sa pagbebenta ng lomi ngayon. ,batangas
"Huwag mo akong ma-bola, kilala ko ang galaw mo dine. ",batangas
Sawsaw na naman siya sa usapan kahit hindi naman kausap. ,batangas
Naka-jackpot ang tsuper dahil madami ang pasahero kanina. ,batangas
Huwag kang pabebe riyan at kumain ka na dine. ,batangas
Sablay ang banat niya kaya natawa ang mga tao. ,batangas
Naka-iskor na naman ng libreng merienda ang katabi ko. ,batangas
Huwag mong dadaanin sa tsamba ang pagsusulit mo bukas. ,batangas
Gatasan na naman ng pera ang proyektong iyan kung ituloy. ,batangas
Naloka ako sa presyo ng mga bilihin sa bayan. ,batangas
"Ala eh, ang totoo niyan, hindi ko naman talaga alam. ",batangas
"Bali, dine muna tayo magpalipas ng oras habang naghihintay. ",batangas
" bale, anong oras ga talaga ang tamang alis natin? ",batangas
"Ano, parang mabanas ang panahon kaya masarap mag-ice cream. ",batangas
"ale, parang pamilyar sa akin ang mukha ng kasama mo. ",batangas
" bali, liban muna ako sa klase dahil masama ang pakiramdam. ",batangas
"Ano, saan ga tayo kukuha ng karagdagang pondo ngayon? ",batangas
 baka naman pwedeng dine mo na lang iwan iyan. ,batangas
" bale, nasulat ka na ga ng iyong ulat ngayon? ",batangas
 parang masama ang panahon kaya huwag na umalis. ,batangas
" bale, nagawa ga kayo ng takdang-aralin ninyo kagabi? ",batangas
 parang nahihirapan akong magbuhat nitong kahon dine. ,batangas
Mag-log in ka muna sa system bago ka mag-encode dine. ,batangas
I-check mo ga kung online na si ma'am sa chat. ,batangas
Naka-receive ako ng text mula sa opisina ng dean kanina. ,batangas
I-print mo dine ang hard copy ng ating research abstract. ,batangas
Naka-save ba ga sa flash drive ang presentation mo? ,batangas
Mag-download ka muna ng file bago ka mag-update dine. ,batangas
Naka-block ang website kapag ginamit mo ang wifi rito. ,batangas
I-forward mo ga sa email ko ang soft copy ng report. ,batangas
Naka-schedule ang exam natin sa thursday ayon kay ma'am. ,batangas
I-cancel mo ga ang booking natin dahil naulan nang malakas. ,batangas
Naka-post sa facebook group ang mga kailangan nating dalhin. ,batangas
I-verify mo muna dine sa app kung pumasok ang payment. ,batangas
Dito muna ako maghihintay sa tapat ng plasa. ,laguna
Saan ba kayo galing kaninang madaling araw? ,laguna
Kumain ka na ba ng tanghalian sa karinderya? ,laguna
Parang mahaba ang pila ng sasakyan ngayon sa highway. ,laguna
Hintayin muna natin si ate bago tayo umalis. ,laguna
Masarap ang simoy ng hangin dito sa may tabing-lawa. ,laguna
Dito tayo sa may lilim ng puno mag-usap. ,laguna
Ang dami palang tao rito tuwing sumasapit ang hapon. ,laguna
Parang mahuhuli tayo sa byahe kapag hindi tayo nagmadali. ,laguna
Mag-ingat kayo sa daan pabalik sa inyong bahay. ,laguna
Tara muna sa tindahan para bumili ng malamig na inumin. ,laguna
Ang init pala sa labas ngayon kaya masarap magpalamig. ,laguna
Hintayin mo ako sandali at may kukunin lang ako. ,laguna
Masarap ang pagkain dito sa bagong bukas na kainan. ,laguna
Dito muna tayo bago umalis patungong unibersidad. ,laguna
Nalulungkot talaga ako dahil hindi ko naabutan si nanay sa bahay kanina. ,laguna
Sobra ang kaba ko habang naghihintay ng resulta ng aking pagsusulit. ,laguna
Naiiyak ako sa tuwa dahil natapos din natin ang mahirap na proyekto. ,laguna
Natatakot ako kapag gabi na at wala pa ring masakyang dyip sa kanto. ,laguna
Napakasakit isipin na hindi nila pinahalagahan ang tulong na ibinigay natin. ,laguna
Nagalit si tatay dahil nakalimutan kong painumin ng gamot ang lolo. ,laguna
Nanghihinayang ako sa pagkakataon na makasama kayo sa pamamasyal kagabi. ,laguna
Natutuwa ako dahil naging matagumpay ang programa ng ating pamunuan. ,laguna
Naiinis ako kapag matagal akong naghihintay sa initan dito sa labas. ,laguna
Napakasaya ng buong pamilya noong dumating ang mga pasalubong mula sa malayo. ,laguna
Nalilito ako kung aling kurso ang dapat kong piliin para sa aking kinabukasan. ,laguna
Nangangamba ako na baka bahain na naman ang daan papunta sa amin. ,laguna
Dito muna. ,laguna
Saan ba? ,laguna
Kumain na. ,laguna
Mahaba pila. ,laguna
Hintayin sila. ,laguna
Masarap hangin. ,laguna
Dito tayo. ,laguna
Maraming tao. ,laguna
Huli na. ,laguna
Mag-ingat kayo. ,laguna
Tara muna. ,laguna
Mainit ngayon. ,laguna
Dito raw tayo magkikita sa tapat ng plasa para sabay-sabay na tayong sumakay papunta sa aming unibersidad. ,laguna
Saan ba pwedeng bumili ng masarap at bagong lutong buko pie na pwedeng dalhing pasalubong sa aking pamilya? ,laguna
Kumain ka na ba bago ka bumiyahe pabalik dito sa bayan para hindi ka gutumin sa daan mamaya? ,laguna
Parang lumalaki ang tubig sa lawa ngayon dahil sa walang tigil na pagbuhos ng malakas na ulan kagabi. ,laguna
Hintayin muna natin ang hudyat ng pamunuan bago natin simulan ang pamamahagi ng mga tulong sa mga residente. ,laguna
Masarap mamasyal sa Nuvali kapag hapon dahil hindi na masyadong matindi ang sikat ng araw at presko ang hangin. ,laguna
Dito na natin hintayin ang mga kasama natin para hindi na tayo magkahiwa-hiwalay pa pagpasok sa loob ng mall. ,laguna
Ang init naman sa loob ng terminal na ito kaya naman madami sa mga pasahero ang lumalabas muna. ,laguna
Parang may bagyong darating batay sa mga huling balita na narinig ko sa radyo kaninang madaling araw. ,laguna
Hintayin mo na lang ako sa may paradahan ng mga traysikel sa tapat ng lumang palengke ng bayan. ,laguna
Dito na natin simulan ang pagpupulong natin para matapos tayo nang maaga at makauwi na ang lahat sa bahay. ,laguna
Saan ba banda ang opisina ng munisipyo rito para maituro ko sa aking mga kasama ang tamang daan? ,laguna
"Aba, dito pala! ",laguna
"Hala, uulan yata! ",laguna
"Ay, sarado na! ",laguna
"Naku, ang trapik! ",laguna
"Wow, ang ganda! ",laguna
"Ay, salamat naman! ",laguna
"Hala, nawawala yata! ",laguna
Naku naman o! ,laguna
"Aba, maaga ngayon! ",laguna
"Ay, nabasag pala! ",laguna
"Hala, bilisan mo! ",laguna
"Wow, sarap nito! ",laguna
Hintayin mo na lang ako sa may paradahan ng sasakyan mamaya. ,laguna
Dito mo ilagay ang mga pinamili nating prutas mula sa palengke. ,laguna
Saan ba pwedeng mag-park ng sasakyan kaya maghanap ka ng pwesto. ,laguna
Kumain ka na ng hapunan bago ka magsimula mag-aral ng leksyon. ,laguna
Mag-ingat kayo sa pagtawid sa riles ng tren tuwing gabi. ,laguna
Tara muna sa may karinderya sa kanto para kumain ng meryenda. ,laguna
Ipaling mo ang sasakyan sa kanang bahagi ng kalsada para makadaan sila. ,laguna
Tawagan mo si nanay para malaman kung nasaan na siya ngayon. ,laguna
Ihanda mo ang mga papeles na kailangan para sa pag-asikaso bukas. ,laguna
Isara mo ang bintana dahil pumasok ang singaw ng init sa labas. ,laguna
Ilista mo ang pangalan ng mga dumalo sa seminar ngayong hapon. ,laguna
Iwan mo ang susi sa tapat ng pintuan bago ka umalis. ,laguna
Pumunta kami sa Liliw noong nakaraang linggo para bumili ng mga murang sapatos na gagamitin ko sa aking pagpasok sa paaralan. ,laguna
Nakita ko ang paglaki ng tubig sa lawa habang kami ay sumasakay sa bangka patungong kabilang bayan kaninang umaga. ,laguna
Nagtipon-tipon ang mga mag-aaral sa covered court para sa gaganaping patimpalak sa darating na buwan ng wika. ,laguna
Dinala ni tatay ang sasakyan sa talyer dahil may kakaibang tunog kaming naririnig tuwing dadaan sa bako-bakong daan. ,laguna
Bumili si nanay ng sariwang isda sa palengke ng Sta Rosa para sa aming hapunan kasama ang buong pamilya. ,laguna
Naglakad kami sa may pilapil habang pinapanood ang magandang sikat ng araw na sumisikat sa likod ng mga kabundukan. ,laguna
Natapos namin ang pag-aayos ng mga dokumento sa munisipyo pagkatapos ng ilang oras na paghihintay sa mahabang pila. ,laguna
Dumaan ang traysikel sa gilid ng riles para makaiwas sa matinding trapik na dulot ng aksidente sa main highway. ,laguna
Uminom si lolo ng kanyang gamot pagkatapos kumain ng masarap na almusal na inihanda ng aking bunsong kapatid. ,laguna
Nagkita-kita ang magkakaibigan sa tapat ng simbahan bago sila tuluyang pumunta sa falls para magpalamig ngayong weekend. ,laguna
Nakinig ang lahat sa paliwanag ng manager tungkol sa mga bagong patakaran na ipatutupad sa loob ng opisina. ,laguna
Iniwan niya ang kanyang payong sa may lobby ng gusali dahil nakalimutan niya itong kunin pagkatapos ng ulan. ,laguna
Saan ba banda rito ang terminal ng bus papuntang Maynila? ,laguna
Kumain ka na ba ng meryenda bago ka pumasok sa klase? ,laguna
Saan ba makakahanap ng murang paupahan na malapit sa unibersidad? ,laguna
Kumusta ang byahe mo mula sa probinsya patungo dito sa bayan? ,laguna
Parang uulan ba nang malakas mamaya batay sa kulay ng ulap? ,laguna
Saan ba ang sakayan ng traysikel papunta sa munisipyo? ,laguna
Kumain na ba si tatay ng kanyang gamot para sa alta-presyon? ,laguna
Saan ba pwede mag-park ng sasakyan na ligtas at walang bayad? ,laguna
Kumain na ba ang mga bisita sa itaas ng bahay natin? ,laguna
Saan ba ang bagsakan ng mga sariwang gulay dito sa palengke? ,laguna
Kumain na ba ang lahat bago tayo magsimula sa ating paglalakbay? ,laguna
Saan ba banda ang opisina ng kapitan dito sa inyong barangay? ,laguna
"Huwag kang pampam sa harap ng mga bisita, nakakahiya naman. ",laguna
Naka-tsamba na naman siya sa huling tanong sa pagsusulit kanina. ,laguna
"Huwag mo akong ma-drama rito, alam ko ang totoong nangyari. ",laguna
Naka-iskor kami ng murang sapatos doon sa may tindahan sa kanto. ,laguna
Huwag kang jologs kung pumorma kapag pupunta sa pormal na okasyon. ,laguna
Naka-jackpot ang tindera dahil naubos agad ang kanyang mga paninda. ,laguna
"Huwag kang praning diyan, ligtas naman ang lugar na ito tuwing gabi. ",laguna
Naka-benta sila ng madaming buko pie dahil sa dami ng turista. ,laguna
Huwag mo akong ma-bwisit ngayon dahil madami akong ginagawa rito. ,laguna
Naka-score ng mataas na marka ang aking kaklase sa mahirap na exam. ,laguna
Huwag kang umasta na parang boss kung bago ka pa lang dito. ,laguna
Naka-freebie kami ng masarap na tsokolate galing doon sa may ari. ,laguna
" bale, dito muna tayo maghihintay sa tapat ng plasa. ",laguna
 parang mahaba ang pila ng mga sasakyan ngayon sa daan. ,laguna
" ano, saan ba talaga ang tamang daan patungo sa inyo? ",laguna
" kumbaga, hintayin muna natin si kuya bago tayo magdesisyon. ",laguna
 parang uulan na naman nang malakas mamayang hapon. ,laguna
" kumbaga, dito na natin simulan ang pag-aayos ng mga gamit. ",laguna
" bale, kumain na ba ang lahat bago tayo tuluyang umalis? ",laguna
 parang matatagalan tayo rito sa loob ng munisipyo ngayon. ,laguna
" ano, hintayin na lang natin ang susunod na abiso mula sa kanila. ",laguna
" kumbaga, masarap ang timpla ng kape rito sa may karinderya. ",laguna
" bale, saan ba banda ang sakayan papuntang SM Sta Rosa? ",laguna
 parang masikip ang daan papunta roon sa may lumang tulay. ,laguna
Mag-log in ka muna sa portal ng unibersidad para makita mo ang grades. ,laguna
I-check mo kung available pa ang schedule ng bus papuntang Lucena. ,laguna
Naka-receive ako ng email mula sa HR tungkol sa aking application. ,laguna
I-print mo ang soft copy ng ating research paper para sa validation. ,laguna
Naka-save ba sa Google Drive ang lahat ng mga files natin? ,laguna
Mag-download ka muna ng application form bago ka pumunta sa opisina. ,laguna
Naka-block ang signal ng wifi kapag nandoon ka sa may basement. ,laguna
I-forward mo sa messenger ko ang screenshot ng resibo ng bayad. ,laguna
Naka-schedule ang meeting natin sa Friday kasama ang buong team. ,laguna
I-cancel mo ang order natin dahil matatagalan daw ang delivery nito. ,laguna
Naka-post sa bulletin board ang mga pangalan ng mga nakapasa. ,laguna
I-verify mo muna sa system kung pumasok na ang bayad ng customer. ,laguna
Tsibog na tayo mga tol habang mainit pa ang ulam. ,cavite
Pre ang lupet ng laban sa basketball kanina sa court. ,cavite
Sandale lang at magbibihis lang ako ng mabilis. ,cavite
Astig ng bagong kotse na binili ng kapitbahay natin. ,cavite
Tara na at baka ma-late tayo sa unang klase bukas. ,cavite
Ang ingay sa highway ngayon dahil sa mga dumadaang motor. ,cavite
Chibog muna bago bumiyahe patungong malayong probinsya. ,cavite
Pre saan tayo tambay mamaya pagkatapos ng ating klase? ,cavite
Sandale lang at tatawag lang ako kay kuya saglit. ,cavite
Astig ng bagong motor niya na kulay itim. ,cavite
Ang lupet ng tugtog kagabi doon sa may discohan. ,cavite
Tara tsibog pagkatapos ng klase natin sa hapon. ,cavite
Pre sobrang traffic kanina sa may aguinaldo highway. ,cavite
Sandale lang at kukunin ko lang ang aking mga gamit. ,cavite
Astig ng view dito sa may overlooking sa Tagaytay. ,cavite
"Naiiyak ako sa lupet ng kanta, parang tagos sa puso ko talaga pre. ",cavite
Sobrang bwisit ko kanina dahil na-late ako sa klase dahil sa traffic! ,cavite
"Natatakot ako tol, baka hindi ko maipasa itong mahirap na subject. ",cavite
Napakasakit sa damdamin na makitang biglang nasira ang pinaghirapan nating proyekto. ,cavite
"Nagalit si kapitan pre, sobrang ingay daw kasi ng tambay sa labas. ",cavite
Natutuwa ako tol dahil sa wakas ay nakuha ko na ang aking allowance. ,cavite
"Nanghihinayang ako sa natirang tsibog kagabi, nasira lang sa mesa. ",cavite
Nalilito ako pre kung paano ko sisimulan itong report ko sa computer. ,cavite
Napakasaya ng buong tropa noong manalo tayo sa liga kaninang umaga. ,cavite
Naiinis ako tol kapag hindi sumasagot sa text ang kagrupo natin. ,cavite
Nangangamba ako na baka hindi tayo umabot sa takdang oras ng pasahan. ,cavite
"Sobrang gulo ng isip ko ngayon pre, dami kong iniisip na problema. ",cavite
Tsibog na. ,cavite
"Pre, saan? ",cavite
Sandale lang. ,cavite
Astig tol! ,cavite
Lupet niyan! ,cavite
Tara na. ,cavite
Ingay dito. ,cavite
Chibog muna. ,cavite
Traffic pre. ,cavite
Gabi na. ,cavite
Late na. ,cavite
Tropa pre. ,cavite
Pre pabalot naman nung natirang tsibog natin doon sa may sikat na kainan para pwedeng meryendahin mamayang gabi. ,cavite
Ang lupet talaga ng porma ng sasakyan mo ngayon lalo na at bagong palit ang mga gulong at pintura nito. ,cavite
"Sandale lang pre, huwag mo muna akong iwan dito sa madilim na eskinita habang hinahanap ko pa ang aking susi. ",cavite
"Astig ng tugtugan sa disco kagabi ah, madaming tao ang nagsayawan hanggang sa sumapit ang madaling araw sa bayan. ",cavite
Tara na tol at baka abutan tayo ng malakas na ulan dito sa daan at wala pa naman tayong dalang dalawang payong. ,cavite
Ang ingay ng mga tricycle sa labas ngayon kaya naman hindi ko marinig nang maayos ang sinasabi ng aking guro sa telepono. ,cavite
Chibog muna tayo sa tabi-tabi bago umuwi para naman hindi tayo gutumin habang nakatambay sa may terminal mamaya. ,cavite
Pre malapit na ba mag-umpisa ang palabas sa may covered court para makahanap na tayo ng magandang pwesto sa unahan? ,cavite
"Sandale lang tol, hinahanap ko pa ang aking itim na pitaka sa loob ng aking napakalaking bag na madaming laman. ",cavite
"Astig ng sapatos ng katabi ko kanina sa jeep, parang mamahalin ang tatak at napakakintab pa ng pagkakalinis nito. ",cavite
Ang lupet ng bagsakan ng lyrics sa kanta ng bagong banda na napanood natin sa may plasa noong nakaraang sabado. ,cavite
Tara tsibog tayo dun sa may bagong kainan sa tabi ng unibersidad dahil balita ko ay napakamura ng kanilang mga pagkain. ,cavite
"Pre, astig! ",cavite
"Tol, lupet! ",cavite
"Ay, chibog na! ",cavite
"Hala, sandale! ",cavite
"Naku pre, traffic! ",cavite
"Wow, astig nito! ",cavite
"Ay, sablay tol! ",cavite
"Hala, late na! ",cavite
"Naku, ang ingay! ",cavite
"Aba pre, porma ah! ",cavite
"Ay, pabalot tol! ",cavite
"Wow, lupet ng kotse! ",cavite
Bilisan mo ang tsibog at may klase pa tayo mamayang ala-una ng hapon. ,cavite
Pre pabalot naman nung natirang pagkain natin sa mesa bago tayo umalis. ,cavite
"Sandale lang tol, tingnan mo muna kung dumarating na ang tsuper ng dyip. ",cavite
Tara na tol at baka masarhan tayo ng gate ng unibersidad ngayon. ,cavite
Isara mo ang pinto dahil sobrang ingay ng mga sasakyan sa highway. ,cavite
Tawagan mo ang tropa para malaman mo kung nasaan silang lahat nakatambay. ,cavite
Maghangap ka ng daan papunta roon para makaiwas tayo sa mahabang traffic. ,cavite
Dalhin mo ang jacket mo dahil malamig ang simoy ng hangin sa gabi. ,cavite
Ihanda mo ang sasakyan natin dahil may bibilhin lang tayo sa imus. ,cavite
Ilista mo ang mga kailangan nating bilhing sangkap para sa tsibog mamaya. ,cavite
Huwag mong iiwan ang mga gamit mo sa tabi-tabi at baka mawala. ,cavite
Bilisan mo ang pag-aayos ng computer para magamit na natin sa laro. ,cavite
Pumunta kami sa may dasma kagabi para manood ng sikat na banda kasama ang buong tropa ko mula sa paaralan. ,cavite
Nakita ko ang mahabang pila sa sakayan ng bus kaninang umaga kaya naman napilitan akong mag-traysikel na lang. ,cavite
Nag-ensayo kami ng sayaw sa covered court para sa gaganaping kompetisyon sa darating na linggo ng wika. ,cavite
Bumili si kuya ng bagong sapatos sa mall at sobrang astig ng porma nito nang isuot niya kanina. ,cavite
Nagtsibog kami ng mainit na lugaw sa may kanto dahil biglang bumuhos ang malakas na ulan ngayong hapon. ,cavite
Dumaan ang sasakyan namin sa shortcut sa aguinaldo highway para hindi kami maabutan ng matinding traffic sa daan. ,cavite
Natapos din namin ang paggawa ng report sa computer pagkatapos ng ilang oras na pagpupuyat sa kwarto. ,cavite
Nakinig ang buong tropa sa kwento ng lolo tungkol sa mga lumang bahay na may multo rito sa amin. ,cavite
Nagkita-kita kami sa may plasa bago kami tuluyang pumunta sa may kainan para mag-celebrate ng birthday niya. ,cavite
Iniwan niya ang kanyang jacket sa loob ng locker dahil nakalimutan niya itong dalhin pag-uwi kagabi. ,cavite
Nirestohan namin ang bagong bukas na tambayan sa may tabi ng dagat at napakaganda ng tanawin doon. ,cavite
Nawalan ng kuryente sa buong barangay kaya naman napilitan kaming lumabas muna ng bahay para magpalamig. ,cavite
Pre saan ba ang daan papunta sa may sikat na kainan dito sa bayan? ,cavite
"Sandale lang pre, malapit na ba mag-umpisa ang laro sa court? ",cavite
Pre malapit na ba tayo sa may dulo ng mahabang pila na ito? ,cavite
Pre saan ba maganda magpalipas ng oras kasama ang buong tropa natin? ,cavite
Pre anong oras ang tsibog natin mamaya para makapaghanda na ako rito? ,cavite
Pre saan ba ang sakayan ng van papuntang imus dito sa may kanto? ,cavite
Pre saan ba pwedeng mag-ensayo ng sayaw na walang bayad ang pwesto? ,cavite
Pre saan ba banda rito ang opisina ng munisipyo ng lungsod natin? ,cavite
Pre bakit ba sobrang traffic na naman ngayon dito sa aguinaldo highway? ,cavite
Pre napanood mo ba ang huling laban ng koponan natin kaninang umaga? ,cavite
Pre magkano ba ang pamasahe sa dyip papunta sa dasma ngayon? ,cavite
Pre narinig mo ba ang bulyaw ng tsuper doon sa may terminal kanina? ,cavite
"Huwag kang epal sa usapan pre, wala ka namang alam sa nangyari. ",cavite
Naka-chamba na naman ng libreng tsibog ang tropa natin sa kanto. ,cavite
"Huwag mo akong ma-lowbatan dito, alam ko ang istilo mo pre. ",cavite
Naka-jackpot kami sa ukay-ukay dahil madaming magagandang porma ng jacket. ,cavite
"Huwag kang pabebe riyan tol, bilisan mo ang pag-ayos ng gamit mo. ",cavite
Naka-iskor ng mataas na puntos si kuya sa huling laro ng basketball. ,cavite
"Huwag kang praning pre, walang kukuha ng motor mo sa labas ng gate. ",cavite
Naka-freebie ang tropa ng malamig na inumin galing doon sa may-ari. ,cavite
"Huwag kang pasikat sa harap ng guro natin, nakakairita ka tol. ",cavite
Naka-score kami ng murang ticket para sa concert na gaganapin bukas. ,cavite
Huwag kang umasta na parang astig kung hindi mo naman kaya tol. ,cavite
Naka-benta sila ng madaming paninda dahil sa ganda ng pwesto nila. ,cavite
" pre, tsibog na tayo habang mainit pa ang pagkain. ",cavite
 parang sobrang traffic na naman ngayon dito sa aguinaldo highway. ,cavite
" ano, saan ba talaga ang tamang tambayan ng tropa mamaya? ",cavite
" kumbaga, sandale lang at tatapusin ko lang itong ginagawa ko. ",cavite
" pre, astig talaga ng kulay ng bago mong motor ngayon ah. ",cavite
 parang male-late na tayo sa klase dahil sa bagal ng dyip. ,cavite
" kumbaga, chibog muna tayo sa tabi-tabi bago tayo tuluyang umuwi. ",cavite
" ano, malapit na ba tayo sa may dulo ng mahabang pila? ",cavite
" pre, bilisan mo ang paglakad at baka isara na ang gate. ",cavite
 parang ingay ng mga tricycle sa labas ng aming silid-aralan. ,cavite
" kumbaga, pabalot naman nung natirang pagkain natin kanina sa mesa. ",cavite
" ano, napanood mo ba ang magandang laro ng koponan natin kahapon? ",cavite
Mag-log in ka muna sa facebook account mo para makita mo ang post sa group page. ,cavite
I-check mo pre kung online na si sir sa chat para maitanong natin ang assignment. ,cavite
Naka-receive ako ng confirmation text tungkol sa application natin kanina sa opisina. ,cavite
I-print mo tol ang hard copy ng data table para maisama sa files. ,cavite
